id,type,related_planets,house,reading,source_month,source_sign
1,日食,太阳,,这个月在金牛座10度的日全食中结束，这再次给你的第十二宫带来了关注，这个4月30日的新月日食将出现在你的太阳星盘的第十二宫,2022-04,双子座
2,日食,太阳,,这个月在金牛座10度的日全食中结束，这再次给你的第十二宫带来了关注，这个4月30日的新月日食将出现在你的太阳星盘的第十二宫,2022-04,双子座
3,日食,太阳,,这个月在金牛座10度的日全食中结束，这再次给你的第十二宫带来了关注，这个4月30日的新月日食将出现在你的太阳星盘的第十二宫,2022-04,双子座
4,日食,太阳,,这个月在金牛座10度的日全食中结束，这再次给你的第十二宫带来了关注，这个4月30日的新月日食将出现在你的太阳星盘的第十二宫,2022-04,双子座
5,日食,"太阳,天王星",,4月30日日食时，太阳也将与天王星相合，所以你可能突然需要短途旅行去看望某位体弱多病的人，或者你可能需要去见一位正在进行秘密项目的同事，他需要你的意见,2022-04,双子座
6,日食,"金星,木星",,4月30日在金牛座的新月日偏食将使金星处于主导地位，值得注意的是，4月30日金星将与木星相合,2022-04,双子座
7,日食,"金星,木星",,4月30日在金牛座的新月日偏食将使金星处于主导地位，值得注意的是，4月30日金星将与木星相合,2022-04,双子座
8,日食,,,4月30日，在金牛座有一次新月日食，在你代表隐藏的第十二宫，这表明你可能开始一个秘密的项目或关系，你暂时不能向别人透露,2022-04,双子座
9,日食,,,4月30日，在金牛座有一次新月日食，在你代表隐藏的第十二宫，这表明你可能开始一个秘密的项目或关系，你暂时不能向别人透露,2022-04,双子座
10,日食,天王星,,无论发生什么，都将是巨大惊喜，因为这次日食与天王星紧密相连，这是一颗善于出其不意的行星,2022-04,双鱼座
11,日食,金星,,这就是我认为你会喜欢这次日食的原因:金牛座的日食让金星处于主导地位，所以我们要看看她会做什么,2022-04,双鱼座
12,月食,"金星,木星",,无论食相带来什么信息，显然都是对你有利的，可能与金钱有关，因为月食落入的位置，金牛座，有强烈的财务相关暗示，就像木星和金星一样,2022-04,双鱼座
13,日食,,,如果你参加法律案件，4月30日的日食之后，事情应该格外顺利，做出的裁决对你有利，或你的法律事务只是签合同，最终成就了收益颇丰的结盟,2022-04,处女座
14,日食,金星,,我特别喜欢这次日食的原因是，日食由金星领衔，且金星位于其擢升星座双鱼座，帮它发挥最大力量,2022-04,处女座
15,月食,,,记住，所有日月食都有后续，不要急着认定一个日月食的“好坏”，因为这些是活的事件，都会有后续,2022-04,处女座
16,月食,,,记住，所有日月食都有后续，不要急着认定一个日月食的“好坏”，因为这些是活的事件，都会有后续,2022-04,处女座
17,日食,,,还有其他方式收获日食的利好：也许你被心仪的学院录取，更靠近获取大学或研究生学历的目标，之前你还怀疑自己是否有机会被录取呢,2022-04,处女座
18,日食,金星,,4月30日的这个新月日食还有一些其他对你有利的方面，因为它落于金牛座，而金星是金牛座和天秤座的守护星,2022-04,天秤座
19,日食,金星,,4月30日的这个新月日食还有一些其他对你有利的方面，因为它落于金牛座，而金星是金牛座和天秤座的守护星,2022-04,天秤座
20,日食,"金星,木星",,结果会是相当令人欣喜的，因为新月日食在金牛座，指向当前的关键行星金星，在这种情况下，金星会与好运的木星手挽手地呆在你的日常工作项目宫,2022-04,天秤座
21,日食,"金星,木星",,结果会是相当令人欣喜的，因为新月日食在金牛座，指向当前的关键行星金星，在这种情况下，金星会与好运的木星手挽手地呆在你的日常工作项目宫,2022-04,天秤座
22,日食,,,我不知道你们每个人的星盘，所以不能保证都有让人满意的结果，但是一般来说，日食会带来新机遇，这次会突然出现,2022-04,天蝎座
23,日食,,,我不知道你们每个人的星盘，所以不能保证都有让人满意的结果，但是一般来说，日食会带来新机遇，这次会突然出现,2022-04,天蝎座
24,日食,,,我不知道你们每个人的星盘，所以不能保证都有让人满意的结果，但是一般来说，日食会带来新机遇，这次会突然出现,2022-04,天蝎座
25,日食,,,我不知道你们每个人的星盘，所以不能保证都有让人满意的结果，但是一般来说，日食会带来新机遇，这次会突然出现,2022-04,天蝎座
26,日食,,,像4月30日这种日食通常会打开一段新章节，此次的主题是你与恋人可能会对订婚或结婚达成一致,2022-04,天蝎座
27,日食,,,对于一直没有感受到幸福的蝎子来说可能决定结束婚姻，但是我觉得此日食环境是积极乐观的，所以这种可能性不大,2022-04,天蝎座
28,日食,"金星,木星",,4月30日日食这一天，金星和好运木星合相，你会由衷地感叹日食为你敞开的真爱之门，用二人能量的凝聚打开了人生下一个阶段,2022-04,天蝎座
29,日食,"金星,木星",,我认为巨蟹接收到的应该是好消息，因为金牛座（4月30日的日食发生在金牛座）的主宰星是金星，届时金星和木星将在双鱼座28°亲密相合,2022-04,巨蟹座
30,日食,,,我说新月日食的影响是积极的还有另一个原因，新月象征着新篇章的开始，并带来新的机会，这本就是令人感到幸福的事,2022-04,巨蟹座
31,日食,,,我说新月日食的影响是积极的还有另一个原因，新月象征着新篇章的开始，并带来新的机会，这本就是令人感到幸福的事,2022-04,巨蟹座
32,日食,,,4月30日将在金牛座10度位置发生新月日食，它落在你那掌管真爱、孩子和创意的第5宫内,2022-04,摩羯座
33,日食,,,4月30日将在金牛座10度位置发生新月日食，它落在你那掌管真爱、孩子和创意的第5宫内,2022-04,摩羯座
34,日食,,,单身摩羯会爱上本次新月日食，因为它对于带来命运般的相遇而言是本年度最重要的一次机会,2022-04,摩羯座
35,日食,,,单身摩羯会爱上本次新月日食，因为它对于带来命运般的相遇而言是本年度最重要的一次机会,2022-04,摩羯座
36,日食,,,同样是这个宫位（第5宫）也是创意之宫，因此若你对本次日食带来的感情可能性不感兴趣，也不想要孩子，那你也许会感受到日食对创意的影响,2022-04,摩羯座
37,日食,,,4月30日会有一次新月日食，发生在金牛座，给你带来很多变化，涉及你的住所或其他类型的不动产及家人,2022-04,水瓶座
38,日食,,,4月30日会有一次新月日食，发生在金牛座，给你带来很多变化，涉及你的住所或其他类型的不动产及家人,2022-04,水瓶座
39,日食,,,现在让我们来看四月，有更大的消息要告诉你们——4月30日发生在金牛座10度的新月日食,2022-04,狮子座
40,日食,,,现在让我们来看四月，有更大的消息要告诉你们——4月30日发生在金牛座10度的新月日食,2022-04,狮子座
41,日食,,,我不能保证你会喜欢这次日食——我看不到你们每个人独特的出生星盘——但我预感你会喜欢的,2022-04,狮子座
42,日食,,,我不能保证你会喜欢这次日食——我看不到你们每个人独特的出生星盘——但我预感你会喜欢的,2022-04,狮子座
43,日食,,,所有的日食都有第二步行动，所以不要太快认定这次日食对你来说是好是坏——日食的完整信息可能需要几天甚至几周才能完全揭示,2022-04,狮子座
44,月食,"金星,天王星",2,金牛座的月食会让金星大显身手，位于你财务宫位的金星会与位于你职业宫的天王星直接对话,2022-04,狮子座
45,月食,,,嗯，从我的建议来说希望白羊座尽快行动起来，你们会在后续的月份里经历多个日月食，5月15日，10月25日，11月8日，而其中仅仅是11月8日的食相，不太讨人喜欢,2022-04,白羊座
46,日食,,,新月总是预示着新的开始，而一个新月日食就好比是4月30号的那个，会比一般的新月有更强的能量,2022-04,白羊座
47,日食,,,新月总是预示着新的开始，而一个新月日食就好比是4月30号的那个，会比一般的新月有更强的能量,2022-04,白羊座
48,日食,,,新月日食发生在4月30日的金牛座，意味着本月的另一个重要时刻，它会带来在收入上的变化,2022-04,白羊座
49,日食,,,新月日食发生在4月30日的金牛座，意味着本月的另一个重要时刻，它会带来在收入上的变化,2022-04,白羊座
50,日食,,,现在让我们转来看看日食，因为它们又回来了，而且因为它们是宇宙用来创造变化的最强大的工具之一，我们需要仔细观察它们,2022-05,双子座
51,日食,"太阳,火星,天王星",,我喜欢火星位于你卓越的事业成功宫，在4月30日的这次日食中它会直接支持到太阳、新月和天王星，暗示这次日食可能会实现一项令你兴奋的正式机会,2022-05,双子座
52,日食,"太阳,火星,天王星",,我喜欢火星位于你卓越的事业成功宫，在4月30日的这次日食中它会直接支持到太阳、新月和天王星，暗示这次日食可能会实现一项令你兴奋的正式机会,2022-05,双子座
53,日食,,,如果有什么事情让你感到焦虑或担心，在5月上半月强烈感受到的这次日食，可能会说服你向职业咨询师寻求帮助，可能是通过网络电话的方式,2022-05,双子座
54,月食,,,这个月的另一次食相，满月月食（这俩总是成对出现）将于5月15或16日落在天蝎座25度，会照亮你代表工作和项目的第六宫,2022-05,双子座
55,月食,,,这个月的另一次食相，满月月食（这俩总是成对出现）将于5月15或16日落在天蝎座25度，会照亮你代表工作和项目的第六宫,2022-05,双子座
56,月食,,,这个月的另一次食相，满月月食（这俩总是成对出现）将于5月15或16日落在天蝎座25度，会照亮你代表工作和项目的第六宫,2022-05,双子座
57,月食,,,这个月的另一次食相，满月月食（这俩总是成对出现）将于5月15或16日落在天蝎座25度，会照亮你代表工作和项目的第六宫,2022-05,双子座
58,月食,"太阳,冥王星",,好的一面是，本月中旬，在5月15日月食时，你会遇到冥王星与太阳有一个良好的角度，这表明你将从正在进行的交易中赚取丰厚的利润,2022-05,双子座
59,月食,"太阳,冥王星",,好的一面是，本月中旬，在5月15日月食时，你会遇到冥王星与太阳有一个良好的角度，这表明你将从正在进行的交易中赚取丰厚的利润,2022-05,双子座
60,月食,"太阳,冥王星",,好的一面是，本月中旬，在5月15日月食时，你会遇到冥王星与太阳有一个良好的角度，这表明你将从正在进行的交易中赚取丰厚的利润,2022-05,双子座
61,日食,,,本月的另一个重要时刻将在本月接近尾声5月30日时到来，新月位于双子座9度（这次不是日食）,2022-05,双子座
62,日食,,,本月的另一个重要时刻将在本月接近尾声5月30日时到来，新月位于双子座9度（这次不是日食）,2022-05,双子座
63,日食,,,5月30日在双子座的新月（不是日食）将是另一个重要时刻，在任何激励到你的领域开始一个闪亮的新篇章,2022-05,双子座
64,日食,,,5月30日在双子座的新月（不是日食）将是另一个重要时刻，在任何激励到你的领域开始一个闪亮的新篇章,2022-05,双子座
65,月食,,,一般正常的年份会有四次月食，个别会有7到8次，不过这样的年份比较难熬——食相需要我们根据变化的环境与条件进行调整,2022-05,双鱼座
66,日食,,,虽然你在看到这份月运的时候，这些行星中有些已经移动了，但重要的是日食发生的时候它们是在一起的，效力已经产生了,2022-05,双鱼座
67,日食,"太阳,天王星",,当天王星与太阳、新月（特别是有日食参与其中）抱团，上述领域都是非常适合涉猎、参与的完美选择,2022-05,双鱼座
68,日食,"太阳,天王星",,当天王星与太阳、新月（特别是有日食参与其中）抱团，上述领域都是非常适合涉猎、参与的完美选择,2022-05,双鱼座
69,日食,"太阳,火星,天王星",,我对此次日食高度评价的原因还有，当时火星与皆在金牛座的新月日食、太阳和天王星相位完美,2022-05,双鱼座
70,日食,"太阳,火星,天王星",,我对此次日食高度评价的原因还有，当时火星与皆在金牛座的新月日食、太阳和天王星相位完美,2022-05,双鱼座
71,日食,月亮,,生于2月28日（前后5天）的以及那些上升落入双鱼座、命盘月亮落入双鱼座10°的人收到此次日食影响最为强烈，也包括命盘中有行星落入双鱼座、巨蟹座、天蝎座、金牛座和处女座、摩羯座5°~10°之间的人,2022-05,双鱼座
72,月食,"火星,冥王星",,行运于双鱼座的火星和行运于摩羯座的冥王星，对天蝎座满月食同样很友好，因为这两颗行星都是天蝎座的守护星,2022-05,双鱼座
73,月食,"火星,冥王星",,行运于双鱼座的火星和行运于摩羯座的冥王星，对天蝎座满月食同样很友好，因为这两颗行星都是天蝎座的守护星,2022-05,双鱼座
74,月食,火星,,如果你心中存疑，等下，火星在10°的时候就跟4月30日的日食成吉相位，怎么跟落入天蝎座25度的月食也同样友好呢,2022-05,双鱼座
75,月食,火星,,如果你心中存疑，等下，火星在10°的时候就跟4月30日的日食成吉相位，怎么跟落入天蝎座25度的月食也同样友好呢,2022-05,双鱼座
76,月食,月亮,,生于3月15日（即前后5天）的双鱼座最能感受到此次月食的能量，包括命盘月亮或上升落入双鱼座25度（包括前后5度）的人,2022-05,双鱼座
77,日食,,,4月30日的新月日食，为你带来新的写作、编辑或演说的任务，也可能是发现自己正在开发、拓展新的广告、营销、宣传或社交媒体等工作,2022-05,双鱼座
78,日食,,,4月30日的新月日食，为你带来新的写作、编辑或演说的任务，也可能是发现自己正在开发、拓展新的广告、营销、宣传或社交媒体等工作,2022-05,双鱼座
79,月食,,,第二次食相，是满月月食，将于5月15/16日落入天蝎座，照亮你掌管出版、广播、国际关系和国际贸易、商品，进出口服务的9宫,2022-05,双鱼座
80,月食,,,第二次食相，是满月月食，将于5月15/16日落入天蝎座，照亮你掌管出版、广播、国际关系和国际贸易、商品，进出口服务的9宫,2022-05,双鱼座
81,日食,,,第一个日食发生在北京时间5月1日，金牛座10°新月日食，点亮你星盘第九宫，这里掌管国际关系、海外旅行、法律事务、出版、传播、数字领域、大学或研究生以上高等教育,2022-05,处女座
82,日食,,,第一个日食发生在北京时间5月1日，金牛座10°新月日食，点亮你星盘第九宫，这里掌管国际关系、海外旅行、法律事务、出版、传播、数字领域、大学或研究生以上高等教育,2022-05,处女座
83,月食,,,遇到日月食，有时会“食走”生活里的人，比如，一个朋友搬走了，结婚了，生小孩了，如果你的生活方式和朋友不同，这类变化会给你们的关系带来大的转变——这都是很自然的，但这样的事情可能让你有点伤感,2022-05,处女座
84,日食,月亮,,日食发生在与处女座同属土象星座的金牛座，你拥有优势，这给你潜力，可以想办法从这时出现的一切中获益，特别是，如果你的生日在9月2日±5日之内，或你上升、月亮在处女座10°±5°之内，另外，如果你星盘有本命星体位于金牛座、处女座、摩羯座、巨蟹座10°±5度之内，也会从这个日食中获益,2022-05,处女座
85,月食,,,然后是北京时间5月16日的天蝎座25°月食，点亮你星盘合约宫，但还是，等到6月再签合同更好,2022-05,处女座
86,月食,天王星,,月食时天王星又很活跃，但天王星离月食有10°的距离，容许度边缘了，普通的月相我用8°容许度，但根据我的经验和研究，日月食要参考10°容许度,2022-05,处女座
87,月食,"太阳,冥王星",,不过，月食也有冥王星助力，冥王星与你星盘第九宫的金牛座太阳呈吉相，可能还是外国人给你巨大的帮助，或帮助来自编辑、出版人、制作人、教育工作者或律师,2022-05,处女座
88,日食,,,5月30日你得到年内最有利于事业进步的新月（这次不是日食），双子座9°新月，在你星盘第十宫荣誉、奖项、成就宫,2022-05,处女座
89,日食,,,5月30日你得到年内最有利于事业进步的新月（这次不是日食），双子座9°新月，在你星盘第十宫荣誉、奖项、成就宫,2022-05,处女座
90,日食,天王星,,掌管突发动态的天王星与北京时间5月1日的金牛座日食相合，可能启程一段长途旅行，或海外客户带来交易完成的消息,2022-05,处女座
91,日食,,8,这次日食出现在你的第八宫，他人钱财宫，掌管诸如抵押贷款、贷款，税收、信用卡账单之类,2022-05,天秤座
92,日食,月亮,,下一个食相将在5月15日或16日到来（食相总是成双成对出现），天蝎座25°的月全食，同时也是超级月亮——离地球非常近，因此会比平时看上去更大,2022-05,天秤座
93,日食,月亮,,下一个食相将在5月15日或16日到来（食相总是成双成对出现），天蝎座25°的月全食，同时也是超级月亮——离地球非常近，因此会比平时看上去更大,2022-05,天秤座
94,日食,月亮,,下一个食相将在5月15日或16日到来（食相总是成双成对出现），天蝎座25°的月全食，同时也是超级月亮——离地球非常近，因此会比平时看上去更大,2022-05,天秤座
95,日食,月亮,,下一个食相将在5月15日或16日到来（食相总是成双成对出现），天蝎座25°的月全食，同时也是超级月亮——离地球非常近，因此会比平时看上去更大,2022-05,天秤座
96,日食,月亮,,下一个食相将在5月15日或16日到来（食相总是成双成对出现），天蝎座25°的月全食，同时也是超级月亮——离地球非常近，因此会比平时看上去更大,2022-05,天秤座
97,月食,"太阳,天王星",,4月30日的第一次日食强调了你的第八宫，5月15日的月食重点也是你的第八宫，因为目前太阳和天王星就在那里,2022-05,天秤座
98,月食,"太阳,天王星",,4月30日的第一次日食强调了你的第八宫，5月15日的月食重点也是你的第八宫，因为目前太阳和天王星就在那里,2022-05,天秤座
99,日食,"金星,木星",,幸运的木星将围绕着金星运行——金星是金牛座的守护星，是本次日食所在的星座，金星也是天秤座的守护星）,2022-05,天秤座
100,日食,"金星,木星",,幸运的木星将围绕着金星运行——金星是金牛座的守护星，是本次日食所在的星座，金星也是天秤座的守护星）,2022-05,天秤座
101,月食,"太阳,天王星",,此新月伴随惊喜，因为天王星代表意想不到的消息，他与太阳和新月食相运行紧密，所以你的婚姻或业务合作会发生变化或意外之喜,2022-05,天蝎座
102,月食,"太阳,天王星",,此新月伴随惊喜，因为天王星代表意想不到的消息，他与太阳和新月食相运行紧密，所以你的婚姻或业务合作会发生变化或意外之喜,2022-05,天蝎座
103,日食,"太阳,火星",,本月可能听起来有点压力，但是好事发生的机会也不少，因为双鱼座的火星与太阳和新月日食呈吉相,2022-05,天蝎座
104,日食,"太阳,火星",,本月可能听起来有点压力，但是好事发生的机会也不少，因为双鱼座的火星与太阳和新月日食呈吉相,2022-05,天蝎座
105,日食,,,如果你是上升天蝎25度，你对此次食相的感受力会比4月30日食相更加明显，可能会经历伙伴关系、工作、家庭方面的变化,2022-05,天蝎座
106,月食,,,食相不会单行，会伴随着新月和满月而来，所以第二个食相就是5月15或16日的天蝎座满月月食,2022-05,天蝎座
107,月食,,,食相不会单行，会伴随着新月和满月而来，所以第二个食相就是5月15或16日的天蝎座满月月食,2022-05,天蝎座
108,月食,,,食相不会单行，会伴随着新月和满月而来，所以第二个食相就是5月15或16日的天蝎座满月月食,2022-05,天蝎座
109,月食,,,食相不会单行，会伴随着新月和满月而来，所以第二个食相就是5月15或16日的天蝎座满月月食,2022-05,天蝎座
110,日食,,,当你认真阅读我对这次日食预测的时候，就会明白只要你足够有耐心，事情就会按照你期待的方式去发展,2022-05,射手座
111,日食,"太阳,火星,天王星",,我认为你能够在这次食相之下比较顺利的原因是因为火星和太阳、新月日食以及天王星之间的相位非常的漂亮,2022-05,射手座
112,日食,"太阳,火星,天王星",,我认为你能够在这次食相之下比较顺利的原因是因为火星和太阳、新月日食以及天王星之间的相位非常的漂亮,2022-05,射手座
113,日食,,,4月30日新月日食发生的宫位同时也掌管着你的健康、你保持健康的方式，以及治疗那些需要引起你注意力的方面,2022-05,射手座
114,日食,,,4月30日新月日食发生的宫位同时也掌管着你的健康、你保持健康的方式，以及治疗那些需要引起你注意力的方面,2022-05,射手座
115,日食,,,如果日食带来的消息是你最喜欢的医生或者咨询师要退休或者搬家了，别绝望——找一份医生名录，在你朋友推荐的人选中挑选两三位见个面聊聊,2022-05,射手座
116,月食,,,现在我们来聊一聊满月月食——这是一次月全食——发生在5月15/16日，天蝎座25度,2022-05,射手座
117,月食,,,现在我们来聊一聊满月月食——这是一次月全食——发生在5月15/16日，天蝎座25度,2022-05,射手座
118,月食,,,现在我们来聊一聊满月月食——这是一次月全食——发生在5月15/16日，天蝎座25度,2022-05,射手座
119,月食,,,我通常对于新月和满月的容许度会设置为8度，但是这次是一次月全食，在我的字典里，所有的食相会有一个10度的影响范围,2022-05,射手座
120,月食,,,我通常对于新月和满月的容许度会设置为8度，但是这次是一次月全食，在我的字典里，所有的食相会有一个10度的影响范围,2022-05,射手座
121,月食,,,我通常对于新月和满月的容许度会设置为8度，但是这次是一次月全食，在我的字典里，所有的食相会有一个10度的影响范围,2022-05,射手座
122,月食,,,我通常对于新月和满月的容许度会设置为8度，但是这次是一次月全食，在我的字典里，所有的食相会有一个10度的影响范围,2022-05,射手座
123,月食,"火星,冥王星",,这次月食发生在天蝎座，然后天蝎座的两个守护星火星和冥王星都在非常有利的位置上，所以他们会一起帮你看到快乐的结果,2022-05,射手座
124,月食,"太阳,木星",,木星会和太阳在5月15日月食发生的时候形成一个困难的角度，所以你可能会因为工作太过努力而反而有点迷茫,2022-05,射手座
125,月食,"太阳,木星",,木星会和太阳在5月15日月食发生的时候形成一个困难的角度，所以你可能会因为工作太过努力而反而有点迷茫,2022-05,射手座
126,日食,,,有很小的概率你需要因为日食而注意一下健康问题，如果真的是这样的话，你将会在5月或者6月的时候采取治疗,2022-05,射手座
127,日食,,,有很小的概率你需要因为日食而注意一下健康问题，如果真的是这样的话，你将会在5月或者6月的时候采取治疗,2022-05,射手座
128,日食,,,有很小的概率你需要因为日食而注意一下健康问题，如果真的是这样的话，你将会在5月或者6月的时候采取治疗,2022-05,射手座
129,日食,,,有很小的概率你需要因为日食而注意一下健康问题，如果真的是这样的话，你将会在5月或者6月的时候采取治疗,2022-05,射手座
130,日食,,7,在这个强调个人生活的华丽的月份里，还有一次发生在5月30日的双子座新月（这次不是日食），在你的第七宫伴侣宫,2022-05,射手座
131,日食,,7,在这个强调个人生活的华丽的月份里，还有一次发生在5月30日的双子座新月（这次不是日食），在你的第七宫伴侣宫,2022-05,射手座
132,日食,"火星,木星",,有很多要谈的——两次日食，加上一次新月，木星的巨大移动，火星移动到一个新的星座，等等,2022-05,巨蟹座
133,日食,,,我们需要观察的第一次日食发生在 4 月 30 日 5 月初的前一天，位于金牛座 10 度，点亮了你的第十一宫友谊宫,2022-05,巨蟹座
134,日食,,,我们需要观察的第一次日食发生在 4 月 30 日 5 月初的前一天，位于金牛座 10 度，点亮了你的第十一宫友谊宫,2022-05,巨蟹座
135,日食,"太阳,天王星",,确实，天王星与太阳和新月的日食形成对抗，但我不确定你会感觉到任何不愉快的、不和谐的影响,2022-05,巨蟹座
136,日食,"太阳,天王星",,确实，天王星与太阳和新月的日食形成对抗，但我不确定你会感觉到任何不愉快的、不和谐的影响,2022-05,巨蟹座
137,日食,"太阳,火星",,在 4 月 30 日日食的同时，你有火星这个活动行星，与太阳和新月形成完美的角度，这很可爱，而且那个轨道是一个紧密而接近的轨道,2022-05,巨蟹座
138,日食,"太阳,火星",,在 4 月 30 日日食的同时，你有火星这个活动行星，与太阳和新月形成完美的角度，这很可爱，而且那个轨道是一个紧密而接近的轨道,2022-05,巨蟹座
139,月食,,,下一次日食——它们总是成对出现——将是 5 月 15 日/16 日在你代表真爱的第五宫天蝎座 25 度的满月月食,2022-05,巨蟹座
140,月食,,,下一次日食——它们总是成对出现——将是 5 月 15 日/16 日在你代表真爱的第五宫天蝎座 25 度的满月月食,2022-05,巨蟹座
141,月食,,,下一次日食——它们总是成对出现——将是 5 月 15 日/16 日在你代表真爱的第五宫天蝎座 25 度的满月月食,2022-05,巨蟹座
142,月食,,,下一次日食——它们总是成对出现——将是 5 月 15 日/16 日在你代表真爱的第五宫天蝎座 25 度的满月月食,2022-05,巨蟹座
143,日食,,,第五宫（对你来说是这次日食的宫位）掌管真爱——一种亲密的浪漫关系——以及你孩子的出生和照顾,2022-05,巨蟹座
144,月食,,,通常对于正常的满月或新月，我会允许 8 度的球体，但日食要强得多，所以我允许 10 度的分离仍然在球体内,2022-05,巨蟹座
145,月食,,,通常对于正常的满月或新月，我会允许 8 度的球体，但日食要强得多，所以我允许 10 度的分离仍然在球体内,2022-05,巨蟹座
146,月食,,,通常对于正常的满月或新月，我会允许 8 度的球体，但日食要强得多，所以我允许 10 度的分离仍然在球体内,2022-05,巨蟹座
147,月食,,,通常对于正常的满月或新月，我会允许 8 度的球体，但日食要强得多，所以我允许 10 度的分离仍然在球体内,2022-05,巨蟹座
148,月食,,,通常对于正常的满月或新月，我会允许 8 度的球体，但日食要强得多，所以我允许 10 度的分离仍然在球体内,2022-05,巨蟹座
149,月食,"太阳,土星",,在这次日食的同时，土星将与太阳和满月形成不利角度，所以你可能会觉得你必须做出一个艰难的选择，或者你觉得现金短缺,2022-05,巨蟹座
150,月食,"太阳,冥王星",,日食的好处在于冥王星将与太阳和满月成完美的角度，这很重要，因为冥王星掌管天蝎座，这是 5 月 15 日满月月食的标志,2022-05,巨蟹座
151,月食,"太阳,冥王星",,日食的好处在于冥王星将与太阳和满月成完美的角度，这很重要，因为冥王星掌管天蝎座，这是 5 月 15 日满月月食的标志,2022-05,巨蟹座
152,月食,"太阳,冥王星",,日食的好处在于冥王星将与太阳和满月成完美的角度，这很重要，因为冥王星掌管天蝎座，这是 5 月 15 日满月月食的标志,2022-05,巨蟹座
