id,planet,is_retrograde,is_direct,reading,source_month,source_sign
1,木星,True,False,(在那期间有部分时间木星是在逆行的，所以你过去最强的时期是在2021年5月13日至6月20日）,2022-01,双子座
2,木星,True,False,与2021年不同的是，2022年的头几个月，木星在你的第十宫荣誉、奖项和成就宫位时，有一半的时间是微弱地逆行着，而在2022年的第一个月木星将保持强劲的状态,2022-01,双子座
3,水星,True,False,一定要对你的选择的范围保持开放态度，直到你能看清所拥有的布局情况，因为你的守护星水星将在1月14日至2月3日里逆行,2022-01,双子座
4,金星,True,False,金星目前也在逆行，这一星象从12月19日开始，将持续到1月29日,2022-01,双子座
5,金星,True,False,也最好把做医美的计划推迟到2月，包括打肉毒杆菌和填充什么的——这些可能是都价格不匪，所以你会想在金星清醒并能支持你的时候再去看皮肤科医生，而不是在她逆行睡觉的时候,2022-01,双子座
6,金星,True,False,如果你是单身，本月金星逆行的时候，你遇到了新的人，可能会发生激烈的感情，但又会很快冷却下来，因为金星掌管感情——金星在逆行的期间会限制这种感情,2022-01,双子座
7,水星,True,False,水星，你的守护星，将从1月14日逆行到2月3日，所以只有在水星调节好其轨道后，安排才能变得稳固,2022-01,双子座
8,冥王星,False,True,太阳和冥王星将在此时相合，所以如果你正在寻找贷款人、赞助人或风险资本，你可能会在握手时达成协议，并开始起草法律文件，在下个月签署（在水星——你的守护行星和管理所有通信和合同的行星——2月3日顺行之后）,2022-01,双子座
9,金星,True,True,金星在2021年12月19日开始逆行，并将在2022年1月29日顺行,2022-01,双子座
10,木星,True,False,而今年，从现在一直到5月10日，木星会以光速前进，不会逆行，这就让年初这段时间非常特别,2022-01,双鱼座
11,金星,True,False,我必须在这里补充一点免责声明，因为金星从2021年12月19日就开始逆行，直至2022年1月29日,2022-01,双鱼座
12,水星,True,False,水星逆行期间，不应该购买电子设备，无论是电脑、智能手机、相机和洗碗机、冰箱或吸尘器，以及任何其他有电子元件或运动部件齿轮的物品（水星主宰这两者）,2022-01,双鱼座
13,水星,True,False,1月14日到2月3日，你的主星水星逆行，所以我希望你等一等再发出正式申请，2021年12月19日金星开始了逆行，将持续到1月29日，这个月是个缓慢的开始，但可能让你很开心——工作要求不高，节奏更平和，听着不错,2022-01,处女座
14,金星,True,False,1月14日到2月3日，你的主星水星逆行，所以我希望你等一等再发出正式申请，2021年12月19日金星开始了逆行，将持续到1月29日，这个月是个缓慢的开始，但可能让你很开心——工作要求不高，节奏更平和，听着不错,2022-01,处女座
15,金星,True,False,多放松一点的时机完美，1月有个缓慢从容的开始，因为金星和水星都会逆行，水星、金星、火星距离地球最近，我们总是感受到它们的影响，比外行星明显许多，所以现在两星逆行，要到1月末甚至2月初才看到生活节奏加速，是完全可以理解的,2022-01,处女座
16,水星,True,False,多放松一点的时机完美，1月有个缓慢从容的开始，因为金星和水星都会逆行，水星、金星、火星距离地球最近，我们总是感受到它们的影响，比外行星明显许多，所以现在两星逆行，要到1月末甚至2月初才看到生活节奏加速，是完全可以理解的,2022-01,处女座
17,金星,True,False,2021年12月19日到1月29日，金星逆行，金星掌管感情，这个月逆行，可能是长期感情关系有些波动感的原因,2022-01,处女座
18,水星,True,False,另外，1月14日到2月3日，你的主星水星逆行，也增加了混乱不受控的感觉,2022-01,处女座
19,金星,True,False,你可能有一份合同或租约要签，或者你可能即将交割房产，但你要知道这个月金星和水星会逆行,2022-01,天秤座
20,金星,True,False,金星也碰巧掌管着你代表他人钱财的第八宫，所以这个宫位也会感受到金星逆行的影响,2022-01,天秤座
21,金星,True,False,还有另一个棘手问题——金星的小弟水星也将在这个月开始逆行，从1月14日到2月3日,2022-01,天秤座
22,金星,True,False,还有，即使在金星还在逆行的时候，你收到的各种消息也会是意想不到且正面的,2022-01,天秤座
23,金星,True,False,1月大部分时间金星都在逆行，这一趋势从12月19日开始到1月29日结束,2022-01,天秤座
24,金星,True,False,作为补充，金星掌管美丽和奢华，所以金星逆行时不适合安排改变外形的计划,2022-01,天秤座
25,金星,True,False,除了金星逆行之外，金星的小弟水星也将从1月14日到2月3日开始逆行,2022-01,天秤座
26,水星,True,False,除了金星逆行之外，金星的小弟水星也将从1月14日到2月3日开始逆行,2022-01,天秤座
27,天王星,False,True,在这次1月17日满月之后接踵而来的是天王星将在1月18日恢复顺行，这对你来说是个好消息，因为这颗代表惊喜的行星掌管着你的第五宫真爱宫,2022-01,天秤座
28,天王星,True,False,天王星从8月19日逆行后就开始沉睡，所以你应该会在1月18日之后看到有爱的进展——几乎是马上,2022-01,天秤座
29,金星,True,False,在一月的时候你还没有办法领略到这个星象的全貌，因为掌管着爱情，浪漫，社交，奢华和享乐的金星正在逆行，当金星打瞌睡的时候，她会收起自己最强的能量,2022-01,天蝎座
30,金星,True,False,等到1月29日金星停止逆行（多给几天时间），你就可以去做那些你之前想做的事啦,2022-01,天蝎座
31,水星,True,False,水星在这个月也会逆行，从1月14日到2月3日，在水瓶座你的家庭宫,2022-01,天蝎座
32,金星,True,False,在这个积极的月份里（尽管金星和水星在逆行），所有的天蝎座都会受益，因为土象摩羯强调的元素跟你的水象元素融合的特别好,2022-01,天蝎座
33,天王星,True,True,最后一个好消息——掌管着惊喜的天王星从8月19日开始就在逆行，现在终于要在1月18日恢复顺行了,2022-01,天蝎座
34,天王星,True,False,此外，天王星正在你的承诺伴侣宫过境，而且就像上面提到的，他从去年8月开始了逆行,2022-01,天蝎座
35,水星,True,False,水星会从1月14日至2月3日逆行，所以你的电脑设备可能会出现问题，因为水星这次会逆行在掌管着数字科技的水瓶座,2022-01,天蝎座
36,金星,True,False,金星和水星在1月份都会逆行，这两颗星星都是轨道离地球最近的，水星，金星和火星是我们对其逆行感受最明显的,2022-01,射手座
37,水星,True,False,金星和水星在1月份都会逆行，这两颗星星都是轨道离地球最近的，水星，金星和火星是我们对其逆行感受最明显的,2022-01,射手座
38,火星,True,False,金星和水星在1月份都会逆行，这两颗星星都是轨道离地球最近的，水星，金星和火星是我们对其逆行感受最明显的,2022-01,射手座
39,金星,True,False,金星掌管爱与爱恋，但如果你在金星逆行时开启一段新感情，你们之间的爱恋可能会维持在一个低水平的状态,2022-01,射手座
40,水星,True,False,当然，水星逆行也不是买电子产品的时候（包括车），因为你可能之后会觉得买错了型号或有什么其他情况让你不喜欢了,2022-01,射手座
41,木星,True,False,这颗大吉星确实给了你一小段预告，2021年的5月13日到7月28日，最强烈的阶段是5月13日到6月20日之间，那之后木星就开始逆行，变得更虚弱了,2022-01,射手座
42,金星,True,False,金星掌管新恋情，当它逆行时，它会撤回它丰富的爱恋表达，所以这时也不适合开始与新人约会,2022-01,射手座
43,金星,True,False,同时金星的兄弟水星也会逆行，掌管交流和合约的水星会从1月14日到2月3日逆行，三周半的时间，每12周逆行一次，大概一年有四次,2022-01,射手座
44,水星,True,False,同时金星的兄弟水星也会逆行，掌管交流和合约的水星会从1月14日到2月3日逆行，三周半的时间，每12周逆行一次，大概一年有四次,2022-01,射手座
45,天王星,True,True,1月还有其他喜讯，去年8月19日以来，天王星一直在逆行，1月18日它终于要恢复顺行了,2022-01,巨蟹座
46,金星,True,False,金星还象征着爱情，它在摩羯座内逆行可能会限制此刻或未来你们的感情表达,2022-01,巨蟹座
47,金星,True,False,1月14日-2月3日，金星的小兄弟水星也将逆行，他将引起沟通上的误解,2022-01,巨蟹座
48,水星,True,False,1月14日-2月3日，金星的小兄弟水星也将逆行，他将引起沟通上的误解,2022-01,巨蟹座
49,金星,True,False,从去年12月19日起至今年1月29日，金星都在逆行，这一整个月还将是这样的状态，所以关于家装、做出家庭外观方面的调整和自我外形上的改变等，最好暂时搁置,2022-01,巨蟹座
50,天王星,True,True,去年8月19日起，天王星就一直在逆行，好消息是，1月18日它将恢复顺行,2022-01,巨蟹座
51,天王星,True,False,那就是天王星正行经你的第5宫真爱宫，自从去年8月19日以来它一直在逆行,2022-01,摩羯座
52,金星,True,False,金星逆行时并不是结识新人的好时候，因为金星掌管着吸引力，因而会导致新建立的关系中感情有限,2022-01,摩羯座
53,金星,True,False,金星、水星和火星的逆行都将令我们感受强烈，因为它们的运行轨道距离地球最近,2022-01,摩羯座
54,火星,True,False,金星、水星和火星的逆行都将令我们感受强烈，因为它们的运行轨道距离地球最近,2022-01,摩羯座
55,金星,True,True,现在正在摩羯座内的金星在12月19日开始逆行，直至1月29日才恢复顺行,2022-01,摩羯座
56,金星,True,False,但金星在摩羯座内时，你可能被注入一种“新的一年，新的自己”的感觉，但由于金星掌管着美且正在逆行，因此现在先别对你的外貌做大的改动,2022-01,摩羯座
57,金星,True,False,同样也得推迟社交活动或举办大型聚会——这在掌管快乐和奢华的金星逆行之际同样不是个好时候,2022-01,摩羯座
58,金星,True,True,自去年12月19日开始，金星就进入了逆行状态，直到1月29 才恢复顺行,2022-01,水瓶座
59,水星,True,False,1月14日至2月3日期间，“聪明的小淘气”水星也将在水瓶座逆行,2022-01,水瓶座
60,天王星,True,False,有一个非常棒的消息，自去年8月19日开始，你的主星天王星就进入逆行状态，这种情况会在1月18日结束,2022-01,水瓶座
61,金星,True,False,虽然1月的节奏相对平缓，但不要误以为这是静谧的一年，因为本月跟接下去的几个月“风格迥异”，（现在之所以出现这种情况是因为）金星一直逆行到1月29日才结束,2022-01,水瓶座
62,金星,True,False,芸芸众生都有需要休息的时候，金星也不例外，每隔18个月，它就会进入为期6周的逆行期,2022-01,水瓶座
63,水星,True,False,水星将于1月14日至2月3日期间逆行，这段时间你更要避免做出重要承诺，包括买卖房产或与父母有关的计划,2022-01,水瓶座
64,金星,True,False,原因在这里：金星还处于逆行状态，从12月19日开始一直持续到1月29日，金星的小伙伴水星也想加入行列,2022-01,狮子座
65,金星,True,False,金星逆行时，不要注射肉毒杆菌或填充物，也不要对容貌做大的改变，比如从长头发变为很短的头发或染一个截然不同的发色,2022-01,狮子座
66,金星,True,False,如果你是单身，希望找到真诚长久的爱，请避开金星逆行的阶段，因为这期间她对感情维系的能力会下降,2022-01,狮子座
67,金星,True,False,当然，你也可能在工作中检查项目事项进度，但随着金星逆行，你可能会发现进度比预期要慢,2022-01,狮子座
68,金星,True,False,除了金星，她的小兄弟水星也将逆行，从1月14日到2月3日，这是1月节奏缓慢的另一个原因,2022-01,狮子座
69,金星,True,False,请牢记在1月2日发生的新月是非常有力量的，太阳和新月还会伴随着冥王星和金星的到来，而这个星象对于你们来说特别的友好，我们不得不抬头看一看整个宇宙，唯一影响就是金星在逆行,2022-01,白羊座
70,金星,True,False,金星不仅仅是掌管爱情、快乐、金钱和人气，同时它还掌管着好看的外表，上个月我曾经提到过，对于白羊座来说，无论是男性还是女性，最好不要在金星逆行期间，在外貌上去做很大的变化和改动，避免做脸部提升、或玻尿酸填充等，不要改变自己的发型或者换新护肤产品线,2022-01,白羊座
71,天王星,True,True,而我的第三或者是最后1点是有关于还是有关于天王星的，他从8月19号开始一直处在逆行的状态，而来到1月18日的时候就会恢复顺行,2022-01,白羊座
72,天王星,False,True,请牢记天王星将会在1月18日开始恢复顺行，这意味着会你们会从亲近的朋友那边获得更多的快乐以及帮助,2022-01,白羊座
73,金星,True,False,本月金星仍然在逆行(12月19日到1月29日)，很快，金星的小弟弟水星也会逆行(1月14日到2月3日),2022-01,白羊座
74,水星,True,False,本月金星仍然在逆行(12月19日到1月29日)，很快，金星的小弟弟水星也会逆行(1月14日到2月3日),2022-01,白羊座
75,水星,True,False,大多数时候，水星会在白羊的友谊宫逆行，这增加了你遇到很久没见的老朋友的机会,2022-01,白羊座
76,水星,True,False,水星开始逆行时停留在水瓶座，随后在1月25日回到摩羯座，代表白羊职业第十宫,2022-01,白羊座
77,水星,True,False,水星将在1月14日逆行至2月3日，所以虽然这不是一个订购家具或签署房子或公寓的时间，但你可以在1月早期（尽可能早）做任何这些事情,2022-01,白羊座
78,金星,True,False,金星几乎整个月都在逆行，一直到1月29日，12月19日就开始逆行了,2022-01,白羊座
79,金星,True,False,在金星逆行的一部分时间里，她的小弟弟水星也会效仿她的行动，从1月14日到2月3日，水星也会逆行，这次水星逆行的大部分时间和金星逆行重叠,2022-01,金牛座
80,水星,True,False,在金星逆行的一部分时间里，她的小弟弟水星也会效仿她的行动，从1月14日到2月3日，水星也会逆行，这次水星逆行的大部分时间和金星逆行重叠,2022-01,金牛座
81,金星,True,False,金星和水星都在逆行阶段，如果你立马就签名，那么你可能会忽视一些关键点，后期，这些问题可能会导致澄清、精简或者完全改变某些事,2022-01,金牛座
82,金星,True,False,金星会一直逆行到1月29日，金星在逆行的时候发挥的能量是受限制的,2022-01,金牛座
83,金星,True,True,你的守护星金星会在29日恢复顺行，去年12月19日金星开始逆行,2022-01,金牛座
84,天王星,True,False,然而，1月18日，第十宫的守护星天王星会和太阳形成相位，第十宫掌管荣誉和名望，这次天王星会一扫逆行时的虚弱，全速前行,2022-01,金牛座
85,天王星,True,True,8月19日以来，天王星一直在持续逆行，但是在1月18日天王星会恢复顺行,2022-01,金牛座
86,金星,True,True,除此之外，金星，这个掌管你的财务和利润（第八宫）以及你的爱情生活（第五宫）的行星，自12月19日以来一直在逆行，并最终在1月29日转为顺行,2022-02,双子座
87,金星,True,True,上个月，金星在逆行，但在1月29日会转为顺行，给了金星时间来提升她的能量，来迎接情人节,2022-02,双子座
88,金星,True,True,2月更活跃、更高效，比1月体验好多了，1月金星几乎整月逆行，从2021年12月19日开始，直到2022年1月29日才顺行，顺行本身就是好消息，金星掌管快乐、美和爱——金星逆行时这些领域都失去活力，现在开始逐渐恢复到之前的正常力量,2022-02,处女座
89,水星,True,True,1月还有个原因导致进度变慢，你的主星水星1月14日也开始逆行，2月4日才顺行，水星恢复正常后，你几乎立即感受到能量的上扬，节奏将明显加速，不再出现更多延误，不再总去喊技术人员帮你修理部门电脑或其他崩溃的设备,2022-02,处女座
90,金星,True,True,金星不再逆行，2月4日你的主星水星也顺行了，后面就是蓝天白云、一路坦途,2022-02,处女座
91,金星,True,True,2月要比1月运转得更快，因为你的守护星金星从去年12月19日就开始逆行了，将在1月29日恢复顺行,2022-02,天秤座
92,金星,True,True,金星最近在逆行（2021年12月19日-2022年1月29日），现在恢复了顺行——你不会再遇到延迟,2022-02,天秤座
93,水星,True,True,水星在2月3日恢复顺行，金星是从12月19日开始逆行的，已经在1月29日恢复顺行了,2022-02,射手座
94,金星,True,False,还有一件事：金星从2021年12月19日-2022年1月29日逆行，巨蟹座在家庭事务，以及涉及到交友等社交活动中进展缓慢,2022-02,巨蟹座
95,水星,True,True,雪上加霜的是，水星也加入了逆行的行列，但好在2月3日，水星将恢复顺行,2022-02,巨蟹座
96,金星,True,False,金星和水星之所以逆行，其实是它们的运行轨迹与地球太近了（火星也如此，但它的轨道图像受影响不大）,2022-02,巨蟹座
97,金星,True,True,然而，本月，因为金星逆行（现在已经恢复顺行了），火星和金星将在巨蟹座代表婚姻和长久关系（比如已经建立长久关系的恋爱）的第七宫，完美相合,2022-02,巨蟹座
98,金星,True,False,金星的逆行期也结束了（12月19日至1月29日），现在，它每一天都在变得更加地强大,2022-02,摩羯座
99,金星,True,True,2021年12月19日，金星开始了在摩羯座的逆行，在1月29日，它恢复了顺行,2022-02,摩羯座
100,水星,True,True,1月14日，水星开始了逆行，造成了一些混乱和延迟；在2月3日，它恢复了顺行,2022-02,摩羯座
101,金星,True,False,因为上个月的金星一直在逆行，直到1月29日才刚刚结束，而且水星也在水瓶座逆行，直到2月3日才结束,2022-02,水瓶座
102,水星,True,False,因为上个月的金星一直在逆行，直到1月29日才刚刚结束，而且水星也在水瓶座逆行，直到2月3日才结束,2022-02,水瓶座
103,金星,True,True,掌管着水瓶座家宅宫的金星自从去年12月19日就进入了逆行状态，但幸运的是，它在1月29日总算恢复了顺行,2022-02,水瓶座
104,金星,True,True,金星在上个月逆行，但在1月29日转为顺行，这是一个积极的方面，水星也在上个月逆行，并在2月3日转为顺行——等到这一天之后再接受并制定计划，如前所述，可以考虑2月8日或17日,2022-02,狮子座
105,水星,True,True,金星在上个月逆行，但在1月29日转为顺行，这是一个积极的方面，水星也在上个月逆行，并在2月3日转为顺行——等到这一天之后再接受并制定计划，如前所述，可以考虑2月8日或17日,2022-02,狮子座
106,水星,True,False,你们会发现2月的节奏要比1月来得快许多，从2月3日开始，水星正式的进入逆行，而金星也在1月29日，从12月19日开始的逆行状态恢复过来,2022-02,白羊座
107,金星,True,False,你们会发现2月的节奏要比1月来得快许多，从2月3日开始，水星正式的进入逆行，而金星也在1月29日，从12月19日开始的逆行状态恢复过来,2022-02,白羊座
108,金星,True,True,现在金星在摩羯座，而且已经结束了逆行（金星在1月29日结束逆行，因此，现在金星是在顺行）,2022-02,金牛座
109,木星,True,False,木星在2021年5月13日至7月28日间曾短暂造访双鱼座，然而木星能量最好最强的时段却只有5月13日至6月20日之间（6月20日后，木星就逆行了）,2022-03,双鱼座
110,木星,True,False,同样重要的事实还有，木星的行进速度非常快，并且年初不会逆行——这意味着能量格外强大,2022-03,双鱼座
111,金星,True,False,那是因为当时金星在逆行，但这个，金星正处于2022年对你最佳的几个位置之一,2022-03,天秤座
112,木星,True,False,还要考虑到木星，土星，天王星，海王星和冥王星这些外行星每隔4到5个月就会逆行，这就更说明问题了,2022-03,射手座
113,金星,True,False,金星结束了逆行，火星到10月下旬前都不会逆行，10月下旬到2023年1月中旬会逆行,2022-03,射手座
114,火星,True,False,金星结束了逆行，火星到10月下旬前都不会逆行，10月下旬到2023年1月中旬会逆行,2022-03,射手座
115,金星,True,False,金星刚于过去12月底至1月绝大部分时间里逆行，而火星则将于2022年10月30日逆行至2023年1月12日,2022-03,摩羯座
116,火星,True,False,金星刚于过去12月底至1月绝大部分时间里逆行，而火星则将于2022年10月30日逆行至2023年1月12日,2022-03,摩羯座
117,木星,True,False,外行星——即木星、土星、天王星、海王星和冥王星——也都会逆行，它们的逆行期是长期且持续的，每次4-5个月不等,2022-03,摩羯座
118,水星,True,False,我们通常对水星、金星和火星逆行的感受强于外行星的逆行，因为水星、金星和火星的轨道距离地球更近，但这对所有八颗行星来说都是极不寻常的，因为它们有如此不同的轨道（是的，还包括冥王星在内）,2022-03,摩羯座
119,水星,True,False,尽量在4月你倍受青睐时，尽可能多地结束更多任务和项目收尾，因为下个月，水星将从5月10日到6月3日逆行,2022-04,双子座
120,木星,True,False,（2033年9月，木星会逆行会水瓶座，12月再次进入双鱼座，并一直停留到2034年4月，因此，要好好利用这段时光,2022-04,双鱼座
121,木星,True,False,木星将在10月27日逆回到双鱼座，并停留至2022年12月20日，木星将在2022年11月23日停止逆行,2022-04,双鱼座
122,水星,True,False,占星学中，启动时机很重要，这样可以在水星逆行时，你能继续前进而不会受到太多阻碍,2022-04,双鱼座
123,水星,True,False,下个月，水星将于5月10日开始逆行直至6月3日，所以在5月10日之前完成签署、密封和交付对你更有好处,2022-04,双鱼座
124,木星,True,False,这个阶段的前半程，2022年10月28日到11月23日，木星是逆行的，海王星则逆行到12月3日,2022-04,处女座
125,海王星,True,False,这个阶段的前半程，2022年10月28日到11月23日，木星是逆行的，海王星则逆行到12月3日,2022-04,处女座
126,木星,False,True,2022年12月3日海王星顺行，但我觉得这些星象里，木星还是最重要的,2022-04,处女座
127,水星,True,False,4月尽量多做完一些事，因为你的主星水星，5月10日到6月3日期间逆行,2022-04,处女座
128,水星,True,False,下个月5月10日-6月3日，水星即将逆行，而5月一开始你就会感受到水逆,2022-04,天秤座
129,水星,True,False,如果你需要电子设备，在4月越早买越好（离5月远点），很快水星就要开始逆行咯,2022-04,天蝎座
130,水星,True,False,最后要说的就是，这个月尽量多完成一些事情，因为下个月水星会从5月10日到6月3日逆行,2022-04,射手座
131,水星,True,False,水星将从5月10日逆行到6月3日，所以有什么事尽量在4月完成，5月就剩点收尾的工作,2022-04,巨蟹座
132,水星,True,False,记住，你需要在4月完成所有重要活动，因为到了5月，水星将在5月10日至6月3日逆行,2022-04,摩羯座
133,水星,True,False,但也要记住，下个月水星就要逆行了，从5月10日一直持续到6月3日结束,2022-04,水瓶座
134,水星,True,False,水星将从5月10日到6月3日逆行，所以这个月尽快签名、盖章、完成交付,2022-04,狮子座
135,水星,True,False,你们会比先前更容易的去赚大钱，在5月15日前，你们可能会建立一些对话，请记住等到5月那个时候水星正在进行逆行，所以说时机不如现在好,2022-04,白羊座
136,水星,True,False,你急于扩张事业版图还有一个原因——下个月，也就是5月10日到6月3日，水星会逆行,2022-04,金牛座
137,木星,True,False,在20世纪20年代，木星和海王星在狮子座形成合相，简直太兴奋了（木星和海王星分别在1919年9月、1920年3月和1920年4月形成了三次合相，因为在此期间有逆行的情况）,2022-04,金牛座
138,水星,True,False,本月，水星将从5月10日至6月3日逆行，部分时间在水星统治的星座——双子座，部分时间（从5月22日开始）在金牛座,2022-05,双子座
139,水星,True,False,你有这么多事情要做，我不希望你让水星逆行搅乱了一个良好而强大的月份,2022-05,双子座
140,木星,True,False,不过他将在10月27日至11月23日逆行，之后直至12月20日木星都将以健康的姿态陪伴你,2022-05,双鱼座
141,水星,True,False,水星将在5月10日至6月3日逆行，如果有文件需要签署，最好在上月或五月初完成,2022-05,双鱼座
142,水星,False,True,如果必须签署有约束力的协议，那就选在月初或者等到水星恢复顺行后几天,2022-05,双鱼座
143,木星,True,False,木星将在10月27日至11月23日逆行，所以最好的时间应是11月23日至2022年12月20日之间,2022-05,双鱼座
144,水星,True,False,你可能急于做出改变、决定或尽快采取行动，但别忘了，水星此时还在逆行，你最好等到6月再开始，而且要离6月3日有几天最好,2022-05,双鱼座
145,水星,True,False,这里面还有一颗星体参与，你的主星水星，5月10日逆行到6月3日，从4月最后一周开始，你已经提前感觉到水星带来的减速,2022-05,处女座
146,水星,True,False,我知道5月29日和后面几天水星还在逆行，但讨论和规划还是很好的，只是6月3日之后再做定论,2022-05,处女座
147,水星,True,False,可能要求你签合同，5月10日到6月3日水星逆行，不建议在这期间签合同,2022-05,处女座
148,水星,True,False,前面说了，水星逆行，如果你面试高位，进展可能慢一些，如果你在开张自己的业务，也是，可能面对一些拖延，但拖延对你有利,2022-05,处女座
149,水星,True,False,水星将在5月10日-6月3日逆行，所以如果你将要购买房产或出售房产，就要小心了,2022-05,天秤座
150,水星,True,False,水星从5月10日开始逆行，但你会从4月最后一周就开始感觉到所有事情的节奏越来越慢，沟通也越来越混乱,2022-05,天秤座
151,水星,True,False,水星将在双子座逆行，而水星正是双子座的守护星，所以这次水逆的影响会更强,2022-05,天秤座
152,水星,True,False,毕竟，水星每年逆行三次，为期三周半，所以你很熟悉这个小破坏王的套路,2022-05,天秤座
153,木星,True,True,前半段木星处于逆行状态，11月23日恢复顺行，强大的能量会保持到12月20日离开，刚好可以保证你的愉快假日时光,2022-05,天蝎座
154,水星,True,False,如果你正在编辑文件，不要急于求成，因为水星会在5月10日到6月3日逆行,2022-05,天蝎座
155,水星,True,False,水星从5月10日开始逆行，所以先不要发出申请，等到6月3日之后再做,2022-05,天蝎座
156,水星,True,False,如果你手头有文件要签的话那就尽量在月初的时候签，越早越好，不要等到太靠近5月10日水星要开始逆行的时候,2022-05,射手座
157,水星,True,False,在水星开始逆行之前，我觉得最适合做决定，发声明以及签约的日子是5月2日的周一，以及5月3日的周二，那两天木星和冥王星会形成完美的相位,2022-05,射手座
158,水星,True,False,水星将在本月从 5 月 10 日到 6 月 3 日逆行，所以几乎是你的工作或任务有可能从你的指尖溜走并以失败告终，但现在它可能会回到你身边,2022-05,巨蟹座
159,水星,True,False,如果你必须尽早签合同，那就在一个月中最好的一天，即 5 月 3 日，就在逆行前一周，但从技术上讲，水星还不会逆行,2022-05,巨蟹座
160,火星,True,False,此外，火星和木星都将进入新的星座，更复杂的是，水星将从 5 月 10 日到 6 月 3 日逆行,2022-05,巨蟹座
161,水星,True,False,没关系——你现在可能已经习惯了水星的诡计（毕竟，这种情况每年会发生 3 次，持续三个半星期），所以我敢说，到目前为止，你是处理水逆的专家、沟通不畅和逆行时的普遍混乱,2022-05,巨蟹座
162,水星,True,False,水星将于5月10日至6月3日期间逆行，生活会变得更加多变，但所有人都身处同样的状态，努力解决这种问题,2022-05,水瓶座
163,水星,True,False,火木合期间非常适合签署合约，但彼时水星还在逆行，可以等到6月3日之后再签署,2022-05,水瓶座
164,水星,True,False,水星将部分在你的专业领域逆行，部分在你的旅行和出版/广播领域逆行（也掌管法律事务和与获得高级学位相关的事务）,2022-05,狮子座
165,水星,True,False,你在4月的最后一周开始感受到水星的逆行失误和混乱的横流，所以我希望你不要在5月初签署任何合同，尽管逆行在技术上直到5月10日才开始,2022-05,狮子座
166,水星,True,False,这可能是搬家的日子，如果你已经找到了新的住处，或者是你关闭房子的日子，但我担心因为水星将逆行，我也担心天王星,2022-05,狮子座
167,水星,True,False,你可能会因为这样或那样的原因去维修店--机器在水星逆行期间显示出磨损的证据,2022-05,狮子座
168,水星,True,False,水星将在5月10日逆行，所以你最好在5月尽早签署文件（在给你的律师看完文件后）,2022-05,狮子座
169,水星,True,False,水星将从5月10日到6月3日逆行，白羊可能已经在4月的最后10天已经感受到水星的减速和令人疯狂的逆流,2022-05,白羊座
